,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X107,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X149,X150,X151,X152,Class
count,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0
mean,81.47488584474885,41.461187214611876,230.53881278538813,0.7752162708974482,0.027803739857147045,0.539884173552385,0.20824173409534974,0.5159817351598174,14.863013698630137,215.15981735159818,0.593607305936073,28.100456621004565,12.767123287671232,8.205479452054794,73.26940639269407,83.6392694063927,84.04566210045662,52.78082191780822,92.23287671232876,0.2997756755808572,0.26655424340618233,0.17363041468025117,0.2600396663327091,312.6986301369863,2299.4871575342468,36.940049591841564,57.95890410958904,34.273972602739725,37.054794520547944,19.397260273972602,27.59360730593607,17.36986301369863,21.0,14.397260273972602,1.3348351067856545,1.1716137303048646,1.3311435313587368,0.7687481665658381,630.634703196347,308.2191780821918,0.5012601449672133,0.3001647575962014,200.03196347031962,40.82648401826484,20.666666666666668,20.87214611872146,348.23744292237444,228.86301369863014,20.488584474885844,4.17351598173516,4.502283105022831,50.19178082191781,296.8447488584475,103.94063926940639,192.71689497716895,0.0023415710137371297,0.07377936114192488,0.9238790678443377,0.021716282524946822,0.612866090948493,0.36541762652656024,0.8814045951135705,0.6732712096128451,0.3175963702958311,0.35955056221194737,0.39708968938375616,0.23879353835863423,0.3901425000498494,0.2231654775390772,0.3775596023197494,0.3491228927466269,0.08453133020731961,0.04147666279921234,0.04183134873832158,0.4830377655085191,0.6894740801994095,0.05764089646287102,0.016961540489445218,0.019682813088824278,0.21624066975945,0.4285169205683744,0.18932167897482147,0.382161400456804,348.8310502283105,65.57077625570776,50.70776255707762,21.228310502283104,234.65296803652967,11.059360730593607,106.12328767123287,0.2009132420091324,2.909203196347034,0.6657534246575341,17.328767123287673,13.598173515981735,0.3470319634703196,8.465753424657533,4.287671232876712,1.082191780821918,0.680365296803653,1.2511415525114156,1.273972602739726,9.557077625570777,2.808219178082192,1.7031963470319635,1.9863013698630136,3.0593607305936072,516.7853881278539,2240.4566210045664,1723.6712328767123,0.3015598722347054,698.4703196347032,2058.771689497717,1360.3013698630136,0.6828548813932983,3.319634703196347,3.050228310502283,3.712328767123288,3.6164383561643834,2.4566210045662102,2.584474885844749,2.232876712328767,3.958904109589041,3.584474885844749,3.73972602739726,3.4885844748858448,3.9315068493150687,6.0867579908675795,3.684931506849315,3.2739726027397262,2.538812785388128,2.4292237442922375,4.30593607305936,2.3424657534246576,2.7077625570776256,2.4337899543378994,2.7351598173515983,3.91324200913242,3.1552511415525113,5.789954337899544,3.8447488584474887,3.2511415525114153,2.7945205479452055,2.0,2.9315068493150687,2.8858447488584473,3.538812785388128,3.9406392694063928,4.401826484018265,2.2831050228310503,2.1187214611872145,2.228310502283105,2.3607305936073057,0.45662100456621
std,42.01717712704461,30.077455064735982,144.47980748554838,0.1735463592420033,0.0354828786495632,0.07631766059334694,0.1907875543833216,0.8900419120296824,11.85421583563388,136.81695074432727,0.9405031110872141,23.968996598849905,9.247643708730862,5.487999177796338,40.15640894058895,63.78556760213214,65.93941977087881,41.437998309625286,95.21422305497111,0.1571769829845887,0.12733512717780932,0.08899279165786048,0.16114151848386812,208.52137933630863,4678.624882912398,30.646509051636993,75.75136266485578,53.74291340712264,36.99884342760622,18.397800820431694,23.052874111866426,17.389631137032957,16.01260970999951,16.519718320143983,0.5343169450927209,0.9940585730062531,0.5975633602380784,0.4467275493065717,513.039015167211,1376.9444657764343,0.3997591527983272,0.14158719048052887,312.83872487431836,26.35862465198948,11.01139248805499,11.14961226365865,335.4128884636961,1234.6137714422728,122.93935854014508,9.959414519998932,7.196695488637913,41.729466477564756,285.4475057498538,60.98624556581026,144.68923432572353,0.004768591812383009,0.04800589706400741,0.04884187518967399,0.0454796695990334,0.19900273919595843,0.185899728897148,0.09631444688334537,0.2662319448327064,0.2600314914179929,0.18698934390206728,0.17598107327898377,0.14654309091131046,0.1392157818154123,0.1410212404109335,0.19610417388648343,0.13843989469484538,0.056271099117666534,0.021616521627542858,0.023326028646612533,0.20255096154744182,0.11435501216838632,0.021261703313878638,0.010663359648324478,0.012589765375976952,0.11096835173805869,0.17993191481328238,0.04176404878100676,0.16174348180059692,335.3460266106799,43.94678041708733,41.73899331943104,6.1362901841623305,116.29675000726058,4.716858458540004,54.64026102537808,0.5467158720323567,0.8992291079916516,0.19325496165974057,10.795073793069378,7.340549459912647,0.721954440785552,9.511097610446209,3.4460965234906764,1.2534732442539718,0.9026606207325963,1.3833664804817685,1.6666750450126633,6.757950305971723,2.2907324311247397,1.8936249429529965,2.3685234281848464,3.4827414005140422,302.34128380954786,1208.7725412979357,945.8405085230553,0.09971531698876106,320.84467473794166,1203.79224674496,945.3284126916695,0.45377491381923696,1.3972869694949703,1.681588764628047,3.4153436247181053,1.6559329279920412,0.9775880718750517,1.1793078645985522,1.0603861328711697,1.9068083436911507,1.5521326178381833,2.4213920323103397,2.1014646063363744,2.807242110942386,8.822238268433706,2.0467699704170284,2.177408656628687,2.7078039540891354,1.1879613406826675,4.670079603227524,1.0300865477425385,1.1196673892850026,1.3710472029593515,1.1860025941119738,1.725884427139261,1.453754173891339,5.0558068619586685,4.915208312751329,1.4031210535374872,1.3809872559807908,1.0751573386031896,1.2921296742728101,1.2156210303988606,1.5090249773350681,1.7002810217028141,2.253070554572701,0.8790306603092123,1.0336388958501752,1.1223020143450497,0.9542331642080022,0.49925586618862744
min,5.0,2.0,17.0,0.2576791808873719,0.0,0.4107142857142857,0.0066889632107023,0.0,0.0,14.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0490196078431372,0.0,0.0,0.0,19.0,11.6875,3.418698582794337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,43.0,0.0772471910112359,0.0717079530638852,35.0,5.0,3.0,2.0,9.0,32.0,0.0,0.0,0.0,3.0,9.0,13.0,31.0,0.0,0.0,0.7118644067796609,0.0,0.0,0.0428571428571428,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304812834224599,0.013671875,0.0086816071068039,0.0076721179083383,0.0226125580456289,0.3565891472868217,0.0,0.0,0.0,0.0031193644294974,0.0303194369247428,0.0530590146182999,0.1171875,9.0,8.0,3.0,4.0,23.0,0.0,7.0,0.0,1.6007,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,504.0,403.0,0.131034482758621,226.0,345.0,98.0,0.1798008534850639,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
25%,52.0,18.0,111.5,0.6851002904307489,0.0,0.4909484102244389,0.06579207283033445,0.0,7.0,101.0,0.0,8.5,6.0,4.0,44.0,42.5,38.5,28.0,25.0,0.20794025157232704,0.18570618264322164,0.10949122807017539,0.11873975081522245,174.0,247.375,15.727677009237297,16.5,4.0,13.0,5.0,12.0,8.0,9.0,4.0,0.9750517598343684,0.7533783783783784,1.0,0.4511846405228759,291.5,123.5,0.2035493242389794,0.16912277642134635,108.5,21.0,13.0,13.0,94.0,83.5,7.0,2.0,2.0,17.0,80.0,62.0,110.0,0.0,0.03922185595844565,0.9019237883832779,0.0,0.49509803921568624,0.21509740259740256,0.850531914893617,0.4766304347826087,0.10501253132832075,0.22305140961857375,0.2937254901960784,0.1225,0.3060200668896321,0.1111111111111111,0.2166666666666666,0.217816091954023,0.0397923426346528,0.02417575451145195,0.02436217638844125,0.30455512395919193,0.604245583767768,0.044543650793650746,0.01,0.01084018801410105,0.13233148526407934,0.26817471174516316,0.1589222097881995,0.21916930049496092,94.5,31.0,17.5,18.0,144.5,8.0,68.5,0.0,2.01145,0.53,9.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,304.5,1384.5,1058.0,0.23666045236085595,472.0,1258.0,684.5,0.4162021735866404,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0
50%,74.0,32.0,231.0,0.7925311203319502,0.0121951219512195,0.5234375,0.1205821205821206,0.0,13.0,213.0,0.0,20.0,10.0,7.0,67.0,70.0,70.0,44.0,59.0,0.2628032345013477,0.2388250319284802,0.1604477611940298,0.2473118279569892,278.0,921.6875,30.359306645574108,35.0,11.0,26.0,13.0,22.0,14.0,19.0,10.0,1.3333333333333333,1.0862068965517242,1.3389830508474576,0.7714285714285715,501.0,189.0,0.4335142469470828,0.3024136299100805,160.0,34.0,19.0,20.0,183.0,129.0,10.0,3.0,4.0,35.0,161.0,93.0,164.0,0.0,0.0612244897959183,0.9353932584269664,0.0,0.6428571428571429,0.3333333333333333,0.9,0.7457627118644068,0.25,0.3333333333333333,0.4,0.2222222222222222,0.3768115942028985,0.203125,0.3513513513513513,0.3506493506493506,0.0772200772200772,0.0357142857142857,0.0386100386100386,0.4242424242424242,0.6968503937007874,0.0570175438596491,0.0155642023346303,0.0176991150442477,0.1951219512195122,0.3648960739030023,0.1880252100840336,0.4207119741100324,184.0,53.0,35.0,22.0,226.0,12.0,94.0,0.0,2.9152,0.68,16.0,13.0,0.0,6.0,3.0,1.0,0.0,1.0,1.0,8.0,2.0,1.0,1.0,2.0,449.0,1952.0,1526.0,0.290671031096563,608.0,1754.0,1170.0,0.544730392156863,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0
75%,106.5,59.5,324.5,0.9196080534992668,0.043510907085157105,0.5679254444942476,0.333344935607379,1.0,19.5,308.5,1.0,42.5,17.0,11.0,95.0,111.0,116.5,68.0,122.5,0.33761370819248626,0.34320907778828447,0.22534427724578204,0.3833333333333333,410.5,1930.84375,43.94109242052059,66.5,37.5,51.0,29.0,37.0,22.0,29.5,19.0,1.6705426356589148,1.4641860465116279,1.6159245678365637,1.0719827586206896,814.0,279.0,0.7211975680784755,0.41899489514348787,227.5,56.0,27.0,27.0,507.5,189.0,16.5,5.0,6.0,72.5,440.0,132.0,250.0,0.0032964649750595997,0.09367247277570309,0.9578004425017538,0.027222222222222148,0.7759856630824373,0.4733893557422969,0.940737489025461,0.8947368421052632,0.5055830516658619,0.4672043010752688,0.5,0.3414772727272727,0.48984823625922885,0.32239261052820367,0.5213681667170039,0.4601574718943414,0.1175864160097028,0.0547783276827351,0.054330462564245,0.694522892597347,0.771505376344086,0.06950400413329885,0.0223718125172042,0.02578347578347575,0.3041613970651929,0.6133372864605393,0.2175517407347986,0.5180191858957739,507.5,90.5,72.5,26.0,309.0,14.0,140.5,0.0,3.4844,0.83,26.5,18.5,0.0,11.0,7.0,2.0,1.0,2.0,2.0,13.0,4.0,3.0,3.0,4.0,685.0,2810.0,2147.5,0.35131599786484,867.5,2669.0,1826.0,0.7777777777777779,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,6.0,3.0,3.0,3.0,3.0,1.0
max,245.0,148.0,950.0,1.0,0.1658415841584158,0.8980667838312829,0.7934782608695652,7.0,97.0,851.0,5.0,108.0,60.0,27.0,238.0,548.0,393.0,291.0,563.0,0.8787878787878788,0.6268292682926829,0.4871794871794872,0.7117572692793932,1403.0,44595.1875,211.17572658807168,541.0,279.0,223.0,84.0,144.0,193.0,92.0,138.0,2.9682539682539684,13.0,5.333333333333333,2.3793103448275863,4953.0,20517.0,4.142337976983646,0.8055359246171967,4557.0,203.0,60.0,61.0,1715.0,18378.0,1828.0,146.0,101.0,209.0,1478.0,368.0,1693.0,0.036144578313253,0.2711864406779661,1.0,0.3333333333333333,0.9571428571428572,1.0,0.9938650306748468,1.0,1.0,1.0,1.0,0.6666666666666666,0.7160493827160493,0.6666666666666666,1.0,0.9200484554815264,0.3494623655913979,0.1121951219512195,0.1896551724137931,0.8074866310160428,0.9321266968325792,0.14,0.0561797752808988,0.0588235294117647,0.5697674418604651,0.7375415282392026,0.2965116279069768,0.9166215484569572,1715.0,227.0,210.0,33.0,716.0,22.0,328.0,5.0,5.4233,1.0,42.0,35.0,5.0,53.0,17.0,6.0,4.0,7.0,8.0,35.0,12.0,9.0,13.0,16.0,1971.0,8493.0,7428.0,1.1258389261745,1949.0,8294.0,7030.0,4.13768115942029,8.0,16.0,33.0,9.0,6.0,7.0,6.0,12.0,11.0,17.0,23.0,25.0,80.0,13.0,16.0,33.0,9.0,41.0,6.0,9.0,12.0,9.0,10.0,9.0,59.0,65.0,8.0,9.0,8.0,8.0,11.0,9.0,10.0,16.0,6.0,8.0,6.0,6.0,1.0
